Behaviour,DNA,Count
"From Austria, at 09:40:AM, accessed port 443.0, sent more data out than recieved",821dfaa0afb584f07f3c79d39fc9e815997e97c88de04063b0d62c26e79e7f3f,1
"From United Arab Emirates, at 09:30:AM, accessed port 443.0, sent more data out than recieved",83cae79f61d0db221d0418ec34b3b63ea12aafc2f0b0ac2f2f802891f4b11237,1
"From Austria, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",958a98411a09a91a15cc5e1c71d097d9a71cebbed79f00ec4b6835ed1b3fbd60,1
"From Canada, at 08:20:AM, accessed port 443.0, recieved more data in than sent out",8dd9fc7a4090f39cba744d35d9ae9a3d54d003f0d2af1e285613a31254c85c81,1
"From Netherlands, at 12:40:AM, accessed port 443.0, sent more data out than recieved",6e859b3da514d84bbf1a4bcaa323f9eca165f25c2d18a2e032636480f94f7d22,1
"From Canada, at 12:30:AM, accessed port 443.0, sent more data out than recieved",6c04faa8865ec8cfa97897801d4d6d2395199dfa0c61e69bc0b2d086ffa37e4c,1
"From Canada, at 08:50:AM, accessed port 443.0, recieved more data in than sent out",72f07d40b65720c3ad8c3fd9bff47bb783c0c45f879705f06dc82c43a392fd98,1
"From Austria, at 01:20:AM, accessed port 443.0, sent more data out than recieved",70e49cf84c41920c9988eaa7c2d917d535b5a06750649ec407d3727a6f0a437a,1
"From Netherlands, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",5efffd647b0b7f39b5d3a4c55ed97aa3382cb51f601e17a6794bc1a390847c35,1
"From Germany, at 09:00:AM, accessed port 443.0, recieved more data in than sent out",5d68314949a87b90148caefc77d3b0c2818cf405ff4594af57b36a06545b740b,1
"From United Arab Emirates, at 09:10:AM, accessed port 443.0, sent more data out than recieved",62da182bdf75ded835307de299e8214e7a3177fd85ece2b4be1c533cf368f526,1
"From Germany, at 09:20:AM, accessed port 443.0, sent more data out than recieved",635f7091a108d44345d4005d9b258033cc83931c17b241aab13c61ce12e34091,1
"From Netherlands, at 12:30:AM, accessed port 443.0, recieved more data in than sent out",69272605c560ca966b659419f63b6cac1a4fc2cac94bd94101a05d3fe33f10bb,1
